From Node ID,To Node Id,Weight
m92,m96,5
m94,m24,1
m96,m92,6
m97,m87,5
m2,m91,1
m3,m27,4
m3,m82,5
m4,m92,2
m8,m45,4
m8,m65,2
m10,m3,1
m10,m82,3
m13,m17,1
m17,m16,3
m17,m22,1
m18,m35,2
m18,m44,9
m19,m20,4
m19,m36,6
m20,m19,3
m20,m36,3
m21,m30,7
m22,m17,2
m23,m26,2
m23,m29,7
m23,m32,4
m23,m33,3
m26,m23,4
m26,m29,12
m26,m32,1
m26,m33,1
m27,m3,6
m27,m82,1
m28,m23,1
m28,m29,3
m28,m32,6
m28,m33,11
m29,m23,7
m29,m26,7
m29,m28,2
m30,m21,6
m32,m23,9
m32,m26,1
m32,m28,6
m32,m29,2
m32,m33,11
m33,m23,2
m33,m26,3
m33,m28,4
m33,m29,2
m33,m32,15
m34,m63,2
m34,m81,3
m35,m18,6
m35,m44,5
m35,m46,1
m36,m19,10
m36,m20,3
m37,m50,2
m37,m69,1
m39,m49,1
m40,m51,6
m41,m42,4
m42,m41,4
m43,m90,17
m44,m18,6
m44,m35,3
m45,m8,6
m45,m53,2
m45,m61,1
m45,m64,7
m45,m65,4
m46,m35,3
m46,m44,1
m48,m62,1
m49,m54,2
m49,m85,6
m50,m37,3
m51,m40,6
m53,m45,9
m53,m61,3
m53,m64,12
m53,m65,2
m54,m39,2
m54,m49,2
m54,m85,3
m55,m77,1
m56,m7,8
m56,m50,2
m56,m69,4
m57,m91,5
m58,m81,1
m61,m45,2
m61,m53,1
m61,m64,2
m61,m65,3
m62,m48,2
m63,m58,3
m63,m70,2
m63,m75,8
m63,m78,1
m64,m8,1
m64,m45,5
m64,m53,12
m64,m61,2
m65,m8,3
m65,m45,4
m65,m53,3
m65,m61,2
m65,m64,4
m69,m7,1
m69,m37,1
m69,m56,1
m70,m34,5
m70,m63,5
m70,m75,1
m75,m63,6
m76,m95,1
m77,m55,1
m78,m7,1
m78,m56,2
m78,m63,1
m81,m34,1
m82,m3,4
m82,m10,3
m82,m27,1
m85,m39,2
m85,m49,2
m85,m54,9
m87,m97,3
m90,m43,4
m91,m2,2
m91,m57,1
m1,m10,1
m10,m11,1
m11,m12,1
m12,m13,1
m13,m14,1
m14,m15,1
m15,m16,1
m16,m17,1
m17,m18,1
m18,m19,1
m19,m2,1
m2,m20,1
m20,m21,1
m21,m22,1
m22,m23,1
m23,m24,1
m24,m25,1
m25,m26,1
m26,m27,1
m27,m28,1
m28,m29,1
m29,m3,1
m3,m30,1
m30,m31,1
m31,m32,1
m32,m33,1
m33,m34,1
m34,m35,1
m35,m36,1
m36,m37,1
m37,m38,1
m38,m39,1
m39,m4,1
m4,m40,1
m40,m41,1
m41,m42,1
m42,m43,1
m43,m44,1
m44,m45,1
m45,m46,1
m46,m47,1
m47,m48,1
m48,m49,1
m49,m5,1
m5,m50,1
m50,m51,1
m51,m52,1
m52,m53,1
m53,m54,1
m54,m55,1
m55,m56,1
m56,m57,1
m57,m58,1
m58,m59,1
m59,m6,1
m6,m60,1
m60,m61,1
m61,m62,1
m62,m63,1
m63,m64,1
m64,m65,1
m65,m66,1
m66,m67,1
m67,m68,1
m68,m69,1
m69,m7,1
m7,m70,1
m70,m71,1
m71,m72,1
m72,m73,1
m73,m74,1
m74,m75,1
m75,m76,1
m76,m77,1
m77,m78,1
m78,m79,1
m79,m8,1
m8,m80,1
m80,m81,1
m81,m82,1
m82,m83,1
m83,m84,1
m84,m85,1
m85,m86,1
m86,m87,1
m87,m88,1
m88,m89,1
m89,m9,1
m9,m90,1
m90,m91,1
m91,m92,1
m92,m93,1
m93,m94,1
m94,m95,1
m95,m96,1
m96,m97,1
m97,m98,1
m98,m99,1
m99,m1,1
